title,company,location,salary,summary
Statistical Data Analyst,All-In Analytics,Dallas,85000,"Demonstrated ability to use SQL and SAS to extract data from multiple data sources. Actively participates in the development of data science tools to merge,..."
District Sales Manager,Anchor Point Technology Resources,Dallas,100000,"Ability to handle technical processes, data gathering, data analysis and technical sales processes. Client's scientists are globally located in R&D Centers of..."
Administrative Assistant,Medcillary,Dallas,32000,"With Medcillary, you will have the opportunity to work with some of the most experienced physician pathologists, surgeons, doctoral scientists, certified..."
Certifying Scientist,Lighthouse Recruiting,Dallas,72500,"Join our Medical Laboratory Scientists Groups:. Reviews drug confirmation data from the laboratory, compares with the initial screening data for accuracy and..."
"Method Development, Clinical Toxicology",Lighthouse Recruiting,Dallas,70000,Analyzing and interpreting data and making sure that data is accurately recorded in accordance to guidelines....
DIRECTOR OF MARKETING ANALYTICS,Cottonwood Financial,Dallas,120000,"7+ years of work experience as a Data Scientist, Statistician, Marketing Analyst, Risk Analyst, or other analytics roles in a consumer credit environment...."
Backend Developer,SourceTek,Pittsburgh,80000,Build ML data processing pipelines. You will work with a team of world-class engineers and scientists who are experts in large-scale AI in an agile environment....
Frontend Developer,SourceTek,Pittsburgh,80000,"You will be part of a team of world-class engineers, designers, and scientists, working together in a fast-paced startup environment...."
Data Scientist,Smith Hanley Associates,Pittsburgh,95000,Qualifications of the Data Scientist:. Well known company is seeking a Data Scientist to use statistical analysis to improve target marketing to consumers....
Laboratory Technician,The University of Pittsburgh,Pittsburgh,30810,"Ability to interact with doctors, scientists, staff and students on a professional level. The incumbent must be able to accurately record and coordinate data..."
Senior Statistician,All-In Analytics,Pittsburgh,75500,"Experience with data mining, discovery, classification, transformation, and visualization. PhD...."
Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing",Portland,135000,"Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership"
Industry Relations Manager,University of Portland,Portland,60000,"Compile, analyze, and report relevant data. Experience working in a setting with engineers, computers scientists, or similar technical professional fields...."
OCTRI Navigator Assistant,Oregon Health & Science University,Portland,51500,The Navigator Assistant collects and maintains data regarding investigator projects that utilize OCTRI services....
Physical Scientist,Department of Energy,Portland,55845.5,"As a Physical Scientist, a. Preparing graphs and data profiles; Conducting routine calculating, plotting, and checking of numerical data;..."
Research Scientist,"Najit Technologies, Inc.",Portland,42500,"Record-keeping, computer analysis and graphing of data. We are a Beaverton-based, NIH-funded vaccine development company looking for a full-time, qualified..."
Research Assistant 2,Oregon Health & Science University,Portland,36000,"Proficiency with desktop computers and large data set analysis including spreadsheet, statistical, and graphical software...."
"Instructor and Program Chair, Medical Lab Technology",Portland Community College,Portland,70944,"Compile and/or research data as may be assigned. Instructor and Program Chair, Medical Lab Technology...."
Postdoctoral Scholar,Oregon Health & Science University,Portland,47484,Genomic data analysis experience. Ability to gain the confidence of other scientists and staff. Experience with ChIP-sequencing and RNA-sequencing experiments...
Police Research & Data Analyst I/II+,City of Tempe Arizona,Phoenix,63069.5,"Must have knowledge of, and experience conducting, statistical analysis, research methods, data collection, coding, survey research, and database management OR..."
RESEARCH AND STATISTICAL ANALYST,Arizona Health Care Cost Containment System,Phoenix,47741.5,"And conducts data analysis. Design methodology, write code, extract data and provide quality control of data for internal and external routine reporting..."
Public Health Scientist / Chemist,State of Arizona,Phoenix,50000,Navigate complex software programs pertaining to instrumentation and data review. The Public Health Scientist will provide capacity to both identify and...
Institutional Research Analyst (Open until Filled),Maricopa County Community College District,Phoenix,55735,"Develops queries on data warehouses using data extraction tools such as Hyperion, Veera, and Alteryx. 40% - Manages data work flow processes for the college;..."
Academic Success Specialist,Arizona State University,Phoenix,36530,"Utilizes a variety of university data and programmatic direction to promote student academic success. Students learn from nationally renowned faculty, to..."
Web Security Research Analyst,SiteLock,Phoenix,52500,"About SiteLock: SiteLock is the global leader in website security, currently protecting more than six million websites globally. SiteLock delivers 360-degree"
ENVIRONMENTAL OUTREACH SPECIALIST,State of Arizona,Phoenix,55000,"Analyze environmental data to determine validity, quality, and scientific significance and to interpret correlations between data, human activities and..."
AIR QUALITY PLANNER 2-3,State of Arizona,Phoenix,61000,"Ability to present data and findings in public meetings. Collaborate with other Air Quality Sections, including air quality data assessment and monitoring team,..."
Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing",Phoenix,135000,"Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership"
Data Scientist,CyberCoders,Denver,130000,"Machine Learning- Matlab- C#- Data Mining- Python- HPC Systems- Data Visualization- biostatistical methods- Hadoop- R- MALDI-TOFSo, if you are a Data Scientist..."
Data Scientist,TechnoHealth,Denver,150000,"Sr Data Scientist. Predictive modeling , Python or R modeling, design/build data visualization and dashboard. NLP, DL, ML for AML/KYC/customer/product analytics..."
Statistical Research Specialist,Denver Health,Denver,66654,"Typically, one (1) or more years of healthcare data analysis working with supporting or. Under minimal supervision, coordinates and performs statistical..."
Post-Doctoral Fellow,University of Colorado,Denver,47477,"Synthesis of data presenting data at lab meetings, reviewing literature relevant to project and writing of manuscript. Collection and analysis of all data...."
"Head, Jerry Crail Johnson Earth Sciences & Map Library",University of Colorado,Denver,65000,"Awareness of contemporary research data issues, and building collections that. Demonstrated understanding of data literacy and research competencies in the..."
Senior Software Architect for Cybersecurity Industry Leader,Technical Integrity,Denver,170000,"Designing and building large-scale and performant distributed data processing systems:. The senior software architect, who will work directly to the Co-founder..."
Institute Research Scientist - Translational Biology,MD Anderson Cancer Center,Houston,118500,Work with research and bioinformatics teams to utilize internal biological and oncogenomic data sets to generate and test biological hypotheses....
Computational Scientist,MD Anderson Cancer Center,Houston,95500,"Works closely with clinical scientists to understand data processing challenges and provide custom solutions for sequencing, gene expression, proteomics,..."
Institute Associate Scientist I – Medicinal Chemistry,MD Anderson Cancer Center,Houston,38350,"Ability to analyze, interpret and present data at laboratory and departmental meetings • Participate in an integrated drug discovery research team • Interacts..."
Research Scientist - Neuro-Oncology - Research,MD Anderson Cancer Center,Houston,64500,"Analyze appropriate data on a computer via keyboard. Enter certain results into computer via a keyboard, maintains all data in handwritten laboratory notebook...."
Research Scientist - Thoracic H&N Med Oncology - Research,MD Anderson Cancer Center,Houston,64500,"Utilize image analysis system and/or microscope to analyze data and examine results. To maintain good, detailed experimental records, evaluate resulting..."
Part Time Academic Research and Writing Policy Analyst Posit...,"Earl Carl Institute for Legal & Social Policy, Inc...",Houston,22500,"Gathering data, using either existing information or generating new data through research. Beyond data analysis, these professionals must be able to process the..."
Research Scientist,Rice University,Houston,59950,"The Research Scientist will provide basic instruction, when necessary to:. At the faculty’s request the Research Scientist provides brief demonstrations to..."
"Research Scientist, Experimental Radiation Oncology",MD Anderson Cancer Center,Houston,64500,"Record Keeping and Data Collection:. The primary purpose of the Research Scientist position is to apply technical expertise and experience to plan, coordinate,..."
Quality Assurance Analyst (Research),Baylor College of Medicine,Houston,43794,Knowledge of next gen sequence data formats. The QA analyst will report to the Director of Project Development and will assist project managers in sample...
Research Admin Analyst,MD Anderson Cancer Center,Houston,63750,Review institutional and other pertinent data to identify potential gaps in reported data. Review Conflict of Interest Data:....
Research Statistical Analyst - Biostatistics,MD Anderson Cancer Center,Houston,83000,"Assesses relevant literature as well as existing data, evaluates the quality of data used in reports and assists with preparation and distribution of data for..."
Research Statistical Analyst,MD Anderson Cancer Center,Houston,83000,"Assesses relevant literature as well as existing data, evaluates the quality of data used in reports and assists with preparation and distribution of data for..."
Research Scientist - Molecular & Cellular Oncology,MD Anderson Cancer Center,Houston,64500,Analyze gene/protein expression data from TCGA data set; To enhance educational programs for next generation scientists;...
Research Statistical Analyst -Bioinformatics & Computational...,MD Anderson Cancer Center,Houston,83000,Data used in reports and assists with preparation and distribution of data for. Measurement and analysis of data....
Data Analyst- Immunology,MD Anderson Cancer Center,Houston,53000,"Assist Computational Scientist, Program Manager and Data Coordinators to organize, cleanse and prepare data for loading...."
Institute Associate Scientist II - In Vivo Pharmacology,MD Anderson Cancer Center,Houston,64750,"S/he will be proficient in in vivo experimentation, including standard methods of tumor implantation and dosing, proper handling of small molecule drugs or..."
Institute Associate Scientist II – Protein Production,MD Anderson Cancer Center,Houston,64750,Analyze data and prepare written and oral reports to project teams. Participate in integrated drug discovery research teams by engaging in interaction with...
Senior Research Assistant - Neurosurgery Research,MD Anderson Cancer Center,Houston,47500,Research scientists to design experiments involving genetically modified T. Computer skills including the ability to enter data obtained....
Institute Assoc Scientist III - Neurodegeneration Consort,MD Anderson Cancer Center,Houston,78250,Analyze data and prepare written and oral reports to project teams. Participate in an integrated drug discovery research team by engaging in interaction with...
Medical Lab Scientist,The University of Texas Medical Branch,Houston,67000,"Medical Lab Scientist, Lab Services - Victory Lakes Pathology (evenings). Performs, records and evaluates quality control data according to procedures including..."
"Research Programmer - Genetics, next generation sequencing (...",MD Anderson Cancer Center,Houston,83000,N ext generation sequencing (NGS) data analysis. Assists faculty in the development of new statistical methodology for measurement and analysis of NGS data....
"Principal Institute Research Scientist - Drug Discovery, Bio...",MD Anderson Cancer Center,Houston,156000,"Evidence of leading multi-functional teams of scientists to deliver on program objectives. Strong data analysis skills, ability to interpret results, design of..."
"Sr Systems Analyst, Quantitative Research Computing - C #, A...",MD Anderson Cancer Center,Houston,95500,"This position develops solutions for software and database needs throughout the clinical trial life cycle, with an emphasis on trial data collection and data..."
Head of Engineering - Accounting Platform,Oscar Technology,Houston,250000,They are a leading investment data analysis firm who focus on innovation scientific ways to create solid portfolio's for its clients....
Sr. Research Associate 3,University of Miami,Miami,75400,He or she will be able to communicate effectively to provide services and collaborate with scientists within SCCC or elsewhere....
(Temporary) Sr. Research Associate 1- Psychiatry,University of Miami,Miami,56000,"Trouble shoots data submissions, warehoused data and data errors including quality control of data collection...."
Data Scientist,ace Talent Curators,Miami,100000,Turn Data into value. Python or R for Data Science. You will be responsible for analytical support and statistical modeling for the sole purpose of maximizing...
Social & Data Analyst,MSH Group,Miami,55000,"We are a passionate bunch of creatives, strategists, technologists, data scientists and brand specialists. SOCIAL & DATA ANALYST...."
Veterinary Medical Officer,"Veterans Affairs, Veterans Health Administration",Miami,104752,"The VMO provides biological research support and services to scientists engaged in programs of Research, Development and Education in Medicine...."
"Psychiatry- Assistant Scientist, SOM",University of Miami,Miami,75400,"The Psychiatry Research Division is currently seeking a Psychiatry-Assistant Scientist. Assistant Scientist will collect, analyze, and summarize data, prepare..."
Legal Research Analyst,Liberty Settlement Funding,Miami,30000,"Liberty Settlement Funding, a rapidly growing financial service organization, is seeking applicants with an analytical bent for full-time entry level Legal"
Legal Librarian Research Analyst,Morgan Stephens,Miami,85000,Looking for a Legal Librarian that will be responsible for conducting legal and due diligence research for the firm. This position will be maintaining and
Data Scientist,ITS Technologies,Raleigh,150000,"The *Senior Data Scientist*. Ability to collaborate effectively with business stakeholders, performance consultants, data scientists, and other data engineers...."
Sr. Biostatistician/Sr. Statistical Programmer,Rang Technologies Inc.,Raleigh,112500,Act as Independent Statistician for Data Monitoring Committees. Clinical Research Organization....
Data Scientist,"Sente Data Science, LLC",Raleigh,95000,"Sente Data Science is seeking a Data Scientist for our team in Cary, North Carolina. SENTE DATA SCIENCE LLC. Quality assurance checks on data...."
Data Analyst,Piper Companies,Raleigh,105000,"Piper Enterprise Solutions is seeking Data Analysts and Data Scientists to join a newly formed team in Raleigh, NC...."
Data Scientist / Machine Learning,Piper Companies,Raleigh,117500,"Data Scientist - Machine Learning. 2+ years of experience as a Data Scientist, Computational Biologist, or Statistician...."
Soc/Clin Research Specialist,University of North Carolina,Raleigh,45734,"Radiation oncology is a highly-integrated, multidisciplinary medical specialty involving close interactions between physicians, physicists and dosimetrists,..."
Research Assistant,University of North Carolina,Raleigh,32603,Approximately 25% time will be spent coding and scoring these data using established coding schemes and data management systems....
Hadoop Integration Data Scientist,LifeScale Analytics,Raleigh,140000,"Data Scientist with experience in experimental design, hypothesis testing, and data analysis. The function of the Hadoop Integration Data Scientist is to..."
Senior Data Scientist – Machine Learning,Strivector,Raleigh,170000,"Senior Data Scientist – Machine Learning*. Mentor other data scientists in algorithms, models, tools, and products that make the team more efficient...."
Business Services Coordinator,North Carolina State University,Raleigh,42945,"Coordinate activities and logistics of visiting scientists, seminar speakers and other Center visitors. As the technological and intellectual hub for the..."
"Director Data Scientist, Product",All-In Analytics,Raleigh,185000,"Director Data Scientist, Product. Motivate, coach, evaluate, and celebrate our data scientists. Data Scientists are deeply involved in all stages of product..."
"Senior Consultant, Advanced Analytics",Logos Infotech Inc,San Antonio,117000,The Senior consultant will collaboratively work along with senior engagement managers & lead a team of analysts and data scientists across the globe....
HYDROLOGIST,Department of the Air Force,San Antonio,108824.5,"Field or laboratory work that would require application of hydrologic theory and related sciences such as geology, geo-chemistry, geophysics, or civil..."
Senior Market Research Analyst,Z&A Recruiting,San Antonio,85000,"Data discovery, validation, analysis (i.e. Responsible for maintaining 3rd party data usage across company. Extensive background in obtaining, analyzing, 3rd..."
"Data Scientist, Healthcare",Enterprise Select,St. Louis,100000,Conduct exploratory data analysis from complex data sources and build key data sets. 7+ years of quantitative analysis experience in data science capabilities...
GEOINT Analyst (Data Science),Department of Defense,St. Louis,90941,"Data Management, Data Engineering, Data Science, Computer Science, Software Engineering, Statistics, Applied Mathematics, Applied Physics, Econometrics, UX/UI..."
Staff Scientist - Developmental Biology,Washington University in St. Louis,St. Louis,53892.5,Performs complex statistical analysis of data collected and writes interpretative reports. Verifies the correctness of the data submitted and makes...
Staff Scientist - Radiation Oncology,Washington University in St. Louis,St. Louis,53892.5,"Ability to analyze and interpret statistical data and to communicate data in a clear, concise manner. Performs complex statistical analysis of data collected..."
Staff Scientist - Computational Genetics - Cardiology,Washington University in St. Louis,St. Louis,53892.5,"Ability to analyze and interpret statistical data and to communicate data in a clear, concise manner. Roles of the staff scientist include:...."
Data Scientist Predictive Modeler,S.C. International,St. Louis,125000,Global company is seeking a Data Scientist to meet internal and external client demands. Targeting at least 2+ years of professional experience developing...
Staff Scientist - Vascular Surgery,Washington University in St. Louis,St. Louis,53892.5,"Verifies correctness of data and provides recommendations based on the data analysis. Follow instructions and discussions with PI, in designing research..."
Clinical Research Billing Analyst - Center for Clinical Stud...,Washington University in St. Louis,St. Louis,74651,"Identify system functionality enhancements required to streamline data capture, billing and collections. Participate in clinical research billing compliance..."
Data Scientist - R / Python,Strategic Staffing Solutions,St. Louis,97500,Data Scientist - R / Python*. Strategic Staffing Solutions is searching for a Data Scientist with 3-5 years Experience!*....
Actuarial Data Science Executive,S.C. International,St. Louis,165000,This is a hands-on role and will be responsible for Statistical and Predictive Modeling 50% of the time while managing and mentoring a team of Data Scientists...
Staff Scientist - Pediatrics Infectious Disease,Washington University in St. Louis,St. Louis,53892.5,Performs complex statistical analysis of data collected and writes interpretative reports. Ability to analyze and interpret statistical data and to communicate...
Data Scientist / Data Steward - Analytical Development,Strategic Staffing Solutions,St. Louis,100000,Data Scientist / Data Steward - Analytical Development*. Communication-Interfacing with data scientists on their data needs and with various data asset teams...
Staff Scientist - The Genome Institute,Washington University in St. Louis,St. Louis,54095.5,"Ability to analyze and interpret statistical data and to communicate data in a clear, concise manner. Experience with analysis of genome sequence data (BAMs,..."
Sr. Hadoop Data Engineer,International Consulting Services,St. Louis,110000,"Experience with integration of data from multiple data sources. Hadoop data engineering:. Participate in meetings with business (account/product management,..."
Business and Technology Applications Technician II (Software...,Washington University in St. Louis,St. Louis,62420.5,"Execute and monitor data processing routines. Usage of remote data handling, REST, asynchronous programming...."
Bakery Scientist,"CPS, Inc.",St. Louis,80500,"\*Proven success as a development scientist in bakery products. \*Involved in the development of new sandwich breads using detailed investigations, well thought..."
"Senior Manager, Data Analysis Software Engineer",MatchPointe Group,San Jose,195000,"Ability to mentor other architects, data scientists and engineers in career and skill growth. Senior Manager, Data Analysis Software Engineer*...."
Machine Learning / Deep Learning Internship(s),TERADEEP INC.,San Jose,60000,Large Scale Data Extraction and Preparation. Your work will be hosted on our proprietary FPGA-based servers and made visible to hyperscale data centers across...
STAFF DATA SCIENTIST / DEEP LEARNING,TERADEEP INC.,San Jose,140000,Large Scale Data Extraction and Preparation. Develops Deep Learning HW & SW Acceleration solutions for datacenter applications....
Group Manager,The Sage Group,San Jose,180000,"Drives data roadmap from data quality to data visualization, and marshals resources from multiple functions to deliver scalable solutions...."
RESEARCH ANALYST,San Jose/Evergreen Community College District,San Jose,66099,"Statistics, statistical applications, collection and correlation of data. Utilize reasoning to define problems, collect data, establish facts and draw valid..."
"Principal Data Scientist, Sequencing",Enterprise Select,San Jose,150000,"As a principal data scientist in machine learning, you will explore an exciting new application of neural networks...."
Senior Manager of Data Analytics,Talener,San Jose,200000,"You will join a team of engineers, data scientists, chemists, etc. who are an integral part of the process. As the Senior Manager of Data Analytics, you will be..."
Data Scientist / Machine Learning,Piper Companies,Durham,117500,"Data Scientist - Machine Learning. 2+ years of experience as a Data Scientist, Computational Biologist, or Statistician...."
Statistician II (Job Code: GR0218),Seqirus A CSL Company,Durham,101830.5,See below JOB TITLE: Statistician II (Job Code: GR0218) DETAILS: Provide statistical expertise to drive the application of advanced and state-of-the-art
Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing",Minneapolis,135000,"Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership"
Market Research Analyst,George Konik Associates,Minneapolis,95000,"Experience performing qualitative research/reporting and knowledge of industry data sources is required. Continuously monitor industry data via market reports,..."
Research Analyst I,"TrendSource, Inc.",San Diego,42000,Dedication to both data intergrity and accuracy and the ethical use of said data. Experience with graphic design and data visualization....
NDEx Senior Developer,UC San Diego,San Diego,93500,"In-depth knowledge of bioinformatics methods, applications programming, web development and data structures...."
Signal Processing Data Scientist,Roswell Biotechnologies,San Diego,80000,"Extensive experience with statistical analysis of data, exploratory data analysis, descriptive statistics, and data mining...."
Chemist,Department of the Navy,San Diego,45608.5,"Correlates data, recognizes discrepancies in results and performs specific operations relative to an experiment, study, design or research project...."
Professional Engineers,Department of the Navy,San Diego,86499.5,"And 3) collecting and analyzing engineering data to. Collecting and analyzing engineering data to solve problems, develop reports, and provide recommendations;..."
Industrial Engineering Technician,Department of the Navy,San Diego,65638.5,"Incorporation of technical data changes. Analyze technical data required to assist other. Materials requirements, replacement rates and incorporation of..."
"IT Specialist (Internet), ZP-2210-3 (DE/CR)",Department of Commerce,San Diego,84994,"Assist scientists, data managers, and administrators in the development of data access applications based on internal use needs and external reuse requirements;..."
Medical Technologist (Microbiology),Department of Veterans Affairs,San Diego,79584,All candidates must currently possess or be eligible for and pass within one year the appropriate certification examination as a medical technologist or...
MEDICAL TECHNOLOGIST (MICROBIOLOGY),"Veterans Affairs, Veterans Health Administration",San Diego,79584,"Skilled in informatics, laboratory data flow and the understanding of laboratory processes. All candidates must currently possess or be eligible for and pass..."
Senior Software Engineer - Java,Sharpedge Solutions Inc.,San Diego,100000,"_ data pipelines at scale, and real-time processing _Machine learning and Data Scientist support:. _Big Data cluster, workflows and applications:...."
Senior Laboratory Analyst,Labs-Mart Inc.,Detroit,50400,"Managing and interpreting analytical data. The Senior Scientist will supervise analysts, troubleshoot HPLC and GC instruments, and work closely with management..."
Senior Statistical Modeler,JSP Recruitment Services,Detroit,99700,"Verifying data for rate indications, rate revisions and special projects. Provides innovative management recommendations for improving methods, analysis and..."
Postdoctoral Research Associate,Wayne State University,Detroit,45000,"Experience in instrumentation, in particular data acquisition, motor control and signal processing are the key requirements for this position...."
Statistician,All-In Analytics,Detroit,99500,"Analysis of technical studies and data and draw sound conclusions. Assists management and actuarial team in improving methods, analysis and data gathering..."
Data Scientist - Predictive Analytics,Emerald Resource Group,Cleveland,82500,Data Scientist - Predictive Analytics. Do you consider yourself a Data Scientist? Big Data is where they are right now!...
Environmental Scientist/Engineer,"Pacific Western Technologies, Ltd.",Cleveland,45000,Consulting Oportunities for Environmental scientist / engineer*. Analyze scientific data and do quality-control checks....
Research Analyst,ExchangeBase,Cleveland,38000,"Must love analyzing and applying data. As needed, assist Senior Buyers/Traders with any necessary data entry. Who We Are...."
Accounting Research Analyst,Action Management Services,Cleveland,68000,Our client is searching for an energetic Accounting Research Analyst who will have a positive influence on the Accounting team. As an Accounting Research
"Data Scientist – SAS, R, SQL, Python, Hadoop, Analytics",Oscar Technology,Charlotte,127500,"Data Scientist Role Requirements*. Big Data Solutions. A typical day for the Data Scientist (SAS, R, SQL, Python, Teradata, Hadoop, Analytics) will include:...."
Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing",Charlotte,135000,"Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership"
Account Manager,The Creative Group,Charlotte,55000,"You're fascinated by data analytics:. You may not be a data scientist but you are in touch with AI, Analytics, and Marketing Automation software...."
Biostatistics/Bioinformatics Research Scientist,UNC Charlotte,Charlotte,70000,"Genetics/genomics data analysis (esp. Enjoy computational/statistical method development, data analysis. Of Bioinformatics is seeking a full time research..."
Sr Quantitative Finance Analyst,Prospect Infosys Inc.,Charlotte,140000,"Review, critical assessment and challenge of models on conceptual soundness, assumptions and limitations, data, developmental evidence in support of modeling..."
Data Scientist Data Modeling (Machine Learning Python),"Kennedy Unlimited Inc, Professional Staffing",Charlotte,152500,Responsibilities of the Data Scientist Data Modeling (Machine Learning Python). Experience coding in R and Python and big data environments Hadoop Aster....
Analytics Manager (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing",Charlotte,135000,8 Plus years of modeling experience in Big Data environments like Aster and Hadoop. Salary 120K to 150K....
Inventory Allocator,Management Recruiters of Indianapolis-North,Charlotte,50000,"1+ years of experience as a financial planner, inventory analyst, allocator, store planner, replenshment analyst, data scientist, or assistant planner OR strong..."
Certifying Scientist,Lighthouse Recruiting,Charlotte,67500,"Reviews drug confirmation data from the laboratory, compares with the initial screening data for accuracy and release the results...."
Product Analytics / Data Science Director,3coast,Charlotte,187500,"Motivate, coach, evaluate, and celebrate our data scientists. Product Analytics / Data Science Director. Proficiency in tools used to analyze data (e.g...."
Health Information Data Analysis,"Shepherd's Hope, Inc.",Orlando,37000,"Health Information Data Analyst. Office automation Analytics, Healthcare background, Data mapping. Analyzes, troubleshoots, trials, and recommends workflow..."
"Data Scientist/Statistician (Statistical Modeling, Big Data,...","Quintrix Solutions, Inc",New Jersey,135000,"The starting salary for the Data Scientist position is $135,000. Big Data technologies like Hadoop, MapReduce, Scala:...."
Data Scientist,MillerCang Agency,New Jersey,150000,The role of the Data Scientist is to develop models and algorithms to identify hidden relationships within and across databases which includes relational...
"Research Analyst, Policing and SUMH",Vera Institute of Justice,New York,42500,Collecting and analyzing data; Interest and/or previous experience working on data visualization tools; Experience managing and analyzing data and program...
"Panel Maintenance Analyst, World Trade Center Health Registr...",DEPT OF HEALTH/MENTAL HYGIENE,New York,65977,"-Assisting in survey intake, data capture processes, data cleaning and outreach for Registry follow-up surveys and ancillary studies...."
Senior Instructor and Educational Specialist,Students 2 Science,New York,80000,Ability to interpret data and make recommendations to the project and its evaluation. The sessions are Lead by scientists from the Students 2 Science Technology...
Sr Data Scientist,Fimo Info Solutions LLC,New York,110000,"SR Data Scientist, NYC*. The Data Scientist will work closely with cross functional groups to enhance analytical capabilities and develop persuasive..."
Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing",New York,135000,"Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership"
Data Scientist,Smith Hanley Associates,New York,170000,Data Scientist Responsibilities:. Data Scientist Required Knowledge:. Data Scientist Experience & Personal Qualities:....
Research Analyst I,Commonwealth of Massachusetts,Boston,57786,"Compile data from source documents and convert to acceptable format via data entry, optical scanner and data software programs...."
"Asst Director or Director I, Data Science - Liberty Mutual B...",Liberty Mutual,Boston,137750.5,"Better understanding of the data, and our Data Scientists are our. Data preparation steps, including extraction of target data from multiple...."
Data Scientist / Machine Learning - C++,SFL Scientific,Boston,110000,"Is a US-based data science consulting and services company, providing a broad range of services and solutions in data strategy, consulting, big data technology,..."
"LEAD/PRINCIPAL DATA SCIENTIST, HEALTHCARE",Harnham,Boston,170000,A proven track record that shows the ability to mentor & lead junior Data Scientists. Data Scientist | Modeler | Statistical Methods | Predictive Analytics...
"Director I, Data Science, Customer Advocacy - U. S. Consumer...",Liberty Mutual,Boston,144550.5,"Better understanding of the data, and our Data Scientists are our. Advance your Data. Of machine learning and data mining techniques strongly preferred...."
INTERDISCIPLINARY NAVIGATION AND ENVIRONMENTAL STUDIES,Department of the Army,Boston,108697.5,"EDUCATION FOR PHYSICAL SCIENTIST 1301. Field or laboratory work that would require application of hydrologic theory and related sciences such as geology, geo..."
$500 signing bonus-IT positions in Boston (Dozens open),NERecruitmentServices,Boston,100000,"Senior Data Scientist. Data Center Operations Engineer. Manager, IT Data Center Operations. Hello job seekers!..."
"Analyst/Senior Analyst, Product Research",Liberty Mutual,Boston,94100,"Analyst of Renewal Business Experience is responsible for supporting all customer product insights work, including data querying, traditional data analysis, and..."
Data Scientist,Strategic Employment Partners,Boston,120000,Machine-Learning Data Scientists. At least 2+ years of professional experience in data science or data analytics....
"Research Analyst, Health System Performance",Center For Health Information And Analysis,Boston,66890,"Implement data management tasks (e.g. Merging, recoding, rearranging) to facilitate data analysis. Experience in health care or survey data analysis...."
"Senior Research Analyst, Health System Performance",Center For Health Information And Analysis,Boston,77050,"Implement data management tasks (e.g. Merging, recoding, rearranging), as needed, to facilitate data analysis...."
Manager / Director of Storage,WinterWyman,Boston,160000,"Strong familiarity with Enterprise Storage and Backup technologies – EMC, NetApp, Data Domain, etc. The right candidate also needs very sharp communication..."
"Assay Development Scientist/ Senior Scientist, Cell Therapy",Battersea Biotech,Boston,100000,"Assay Development Scientist/ Senior Scientist, Cell Therapy. Demonstrate a high level of initiative in troubleshooting experiments and accurate data analysis...."
"Senior Data Science Analyst, Customer Advocacy - U. S. Consu...",Liberty Mutual,Boston,102600.5,Metrics & Insights team in CAO is looking for a data scientist to leverage. Regularly engages with the data science....
Data Scientist,Central Intelligence Agency,Washington DC,91066,"Data Scientists organize and interpret Big Data to inform US decision makers, drive successful operations and shape CIA technology and resource investments...."
"Research Physical Scientist, AST, Atmospheric Chemistry and...",National Aeronautics and Space Administration,Washington DC,120212.5,"Analyze and interpret Earth Sciences Data. Provide authoritative technical decisions, advice, and consultation on issues and concerns affecting data analysis..."
Research Data Analyst,Johns Hopkins University,Baltimore,52136.5,"Analyze and maintain data for the community support database. Training interventions, administration of questionnaires, and conduct with data mining, collection..."
Assistant Scientist,Johns Hopkins University Bloomberg School of Publi...,Baltimore,90000,"Conducting data analysis, report writing, dissemination of research results. Doctoral degree in epidemiology, biostatistics, public health, or related field..."
EPIDEMIOLOGIST III,State of Maryland,Baltimore,80078,Experience working with multiple data sources and creating and analyzing matched datasets; The incumbent conducts epidemiologic analyses of refugee health data...
Community Development Research Analyst,Federal Reserve Bank of Richmond,Baltimore,68710.5,"This includes literature reviews, data collection, data organization, data analysis and writing. Collects or gathers data by replicating established data..."
Sr. Technical Laboratory Manager,Johns Hopkins University,Baltimore,70282.5,"This individual will also work closely with multiple principal investigators, pathologists and clinically related research scientists to ensure accurate,..."
Environmental Scientist - Water Resources Management,WSSC,Baltimore,95396.5,"Ability to plan and direct the work of professional engineers and scientists; Monitoring, modeling, environmental data management, point and non-point source..."
Data Scientist - Mid-Level,National Security Agency,Baltimore,92498.5,"Exploit, fuse and use data and data sources. Analyze data using mathematical/statistical methods. Such as calculus, differential equations, discrete mathematics..."
Sr. Research Specialist,Johns Hopkins University,Baltimore,52136.5,Designs experiments and analyzes data. In scientific data for peer-reviewed publications and grant submission....
